Dataset Type,Dataset Size,Algorithm,Execution Time (ms),Memory Usage (KB)
Random,500,Heap Sort,3.1594589818269014,0.25390625
Random,500,Merge Sort,1.145958958659321,7.8125
Random,500,Quick Sort,3.1356249819509685,1.2265625
Random,1000,Heap Sort,6.032916018739343,0.31640625
Random,1000,Merge Sort,5.278750031720847,15.65625
Random,1000,Quick Sort,10.047999967355281,1.6015625
Random,2000,Heap Sort,16.275916947051883,0.37890625
Random,2000,Merge Sort,17.309957998804748,31.3125
Random,2000,Quick Sort,24.578374985139817,1.7578125
Random,5000,Heap Sort,55.1345000276342,0.50390625
Random,5000,Merge Sort,72.83245795406401,78.28125
Random,5000,Quick Sort,79.98083397978917,1.9921875
