Dataset Type,Dataset Size,Algorithm,Execution Time (ms),Memory Usage (KB)
Sorted,500,Heap Sort,2.4169589742086828,0.25390625
Sorted,500,Merge Sort,1.1418749927543104,7.8125
Sorted,500,Quick Sort,3.5685000475496054,1.5234375
Sorted,1000,Heap Sort,7.203458982985467,0.31640625
Sorted,1000,Merge Sort,5.450542026665062,15.65625
Sorted,1000,Quick Sort,10.320124973077327,1.6171875
Sorted,2000,Heap Sort,18.647124990820885,0.37890625
Sorted,2000,Merge Sort,17.565499991178513,31.3125
Sorted,2000,Quick Sort,26.978915964718908,1.7890625
Sorted,5000,Heap Sort,61.828583013266325,0.50390625
Sorted,5000,Merge Sort,73.25562497135252,78.4453125
Sorted,5000,Quick Sort,77.56520801922306,2.0234375
